"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"99400119055","Hotel Pulitzer - HB-004213","Restaurant Visit","C","Bergara","6","6","07","la Dreta de Eixample","02","Eixample","08002","019","BARCELONA","41.386124","2.1683","430462.207","4581955.609","430554.14","4582156.543","934816767","#","","01/01","31/12","0000011","13:00:00","16:00:00"," ",
"99400119057","Restaurant Mochica","#","C","Comte d'Urgell","99","99","09","la Nova Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.38426","2.155552","429394.327","4581758.933","429486.25","4581959.865","933822006","#","","01/01","31/12","0000000","12:00:00","23:59:00"," ",
"99400119057","Restaurant Mochica","#","C","Comte d'Urgell","99","99","09","la Nova Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.38426","2.155552","429394.327","4581758.933","429486.25","4581959.865","933257110","#","","01/01","31/12","0000000","12:00:00","23:59:00"," ",
"99400119587","Restaurant Trattoria Ginos *Via Laietana","#","Via","Laietana","71","71","02","el Barri Gòtic","01","Ciutat Vella","08003","019","BARCELONA","41.388299","2.17287","430846.6","4582193.452","430938.536","4582394.388","935219191","#","","01/01","31/12","0000111","13:00:00","16:30:00"," ",
"99400119587","Restaurant Trattoria Ginos *Via Laietana","#","Via","Laietana","71","71","02","el Barri Gòtic","01","Ciutat Vella","08003","019","BARCELONA","41.388299","2.17287","430846.6","4582193.452","430938.536","4582394.388","935219191","#","","01/01","31/12","0000111","19:00:00","23:00:00"," ",
"99400119587","Restaurant Trattoria Ginos *Via Laietana","#","Via","Laietana","71","71","02","el Barri Gòtic","01","Ciutat Vella","08003","019","BARCELONA","41.388299","2.17287","430846.6","4582193.452","430938.536","4582394.388","935219191","#","","01/01","31/12","1111000","13:00:00","16:30:00"," ",
"99400119587","Restaurant Trattoria Ginos *Via Laietana","#","Via","Laietana","71","71","02","el Barri Gòtic","01","Ciutat Vella","08003","019","BARCELONA","41.388299","2.17287","430846.6","4582193.452","430938.536","4582394.388","935219191","#","","01/01","31/12","1111000","19:00:00","23:59:00"," ",
"99400120216","Restaurant Ribs *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.440807","2.198492","433042.805","4588002.722","433134.76","4588203.712","933608097","#","","01/01","31/12","0000110","13:00:00","23:30:00"," ",
"99400120216","Restaurant Ribs *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.440807","2.198492","433042.805","4588002.722","433134.76","4588203.712","933608097","#","","01/01","31/12","1111001","13:00:00","00:30:00"," ",
"99400120576","Restaurant - Peixateria La Paradeta *Sagrada Família","#","Ptge","Simó","18","18","06","la Sagrada Família","02","Eixample","08025","019","BARCELONA","41.404517","2.173451","430912.382","4583993.479","431004.318","4584194.432","934500191","#","","01/01","31/12","1000111","20:00:00","23:30:00"," ",
